Date,close,High,Low,Open,Volume,MA20,MA50,RSI,EMA12,EMA26,MACD,Signal
2022-01-03,323.1608581542969,326.2983422140473,318.3629198137134,323.7400918729225,28865100,,,,323.1608581542969,323.1608581542969,0.0,0.0
2022-01-04,317.6194763183594,323.59517698244974,314.82951579453515,323.2379618678629,32674300,,,,322.30833787184497,322.75038542570894,-0.4420475538639721,-0.08840951077279442
2022-01-05,305.4267272949219,314.78125567055275,305.0405814422899,314.5785047925629,40054300,,,,319.7111670138568,321.4671514900951,-1.7559844762382681,-0.4219245038658892
2022-01-06,303.0133056640625,307.66644167118665,300.7060346434731,302.30856806148427,39646100,,,,317.1422652677346,320.10019994742606,-2.957934679691448,-0.929126539031001
2022-01-07,303.167724609375,305.5425494460259,299.35446457752903,303.2739021914228,32720000,,,,314.9923359356793,318.8459425149778,-3.853606579298514,-1.5140225470845037
2022-01-10,303.38983154296875,303.824264140596,294.1415080824136,298.77531830555176,44289500,,,,313.2073352598777,317.70104540594014,-4.493710146062426,-2.109960066880088
2022-01-11,304.07525634765625,305.6488002414314,299.1614780529444,302.53064320042563,29386800,,,,311.8024000426129,316.6917276979191,-4.889327655306204,-2.6658335845653114
2022-01-12,307.2513427734375,312.2134078663537,306.10253873709456,308.60289772987363,34372200,,,,311.1022373858167,315.99243992573525,-4.890202539918562,-3.1107073756359616
2022-01-13,294.2476501464844,309.7709684945666,293.4753583562799,309.37515937724777,45366000,,,,308.50922396438096,314.3817147569019,-5.872490792520921,-3.6630640590129535
2022-01-14,299.4607238769531,300.0592544355826,293.2340145006697,293.7167042364733,39846400,,,,307.1171470278536,313.276456173202,-6.159309145348402,-4.162313076280044
2022-01-18,292.17218017578125,299.0746396078269,291.29368105373146,293.54303240583926,42333200,,,,304.817921358304,311.71317646968936,-6.8952551113853815,-4.708901483301112
2022-01-19,292.8285217285156,303.0422523236715,292.2203574511124,295.6860659770476,45933900,,,,302.97339833833655,310.31431315552834,-7.340914817191788,-5.235304150079248
2022-01-20,291.15850830078125,300.86056199781444,290.7144419109229,298.36989546394483,35380700,,,,301.1557229479434,308.89536464776927,-7.7396416998258815,-5.7361716600285755
2022-01-21,285.78125,293.58150224513423,285.37577770702404,292.2106800557735,57984400,,,17.54933217892423,298.79041941749057,307.18320800719374,-8.392788589703173,-6.2674950459634955
2022-01-24,286.1094665527344,286.82383782749025,266.49295154897675,282.0838512555884,85731500,,,18.01653519577326,296.83950359214344,305.6221901216783,-8.782686529534828,-6.770533342677762
2022-01-25,278.5022888183594,284.77725480885573,275.2972516566814,281.4273871708722,72848600,,,17.39610846800943,294.0183936269459,303.6133085436547,-9.594914916708774,-7.3354096574839645
2022-01-26,286.43780517578125,297.81964019269344,282.88521491771667,297.3272871136232,90428900,,,32.96385998708797,292.85214924984365,302.34104903492334,-9.488899785079695,-7.766107683003111
2022-01-27,289.4593505859375,296.66107253209896,287.615472429576,292.1817275159188,53481300,,,37.97116129416671,292.3301802246273,301.38684914981326,-9.056668925185932,-8.024219931439676
2022-01-28,297.587890625,297.80027529096344,284.2560022424525,289.8358945088993,49743700,,,45.66200663748098,293.13905874776157,301.1054448146419,-7.966386066880318,-8.012653158527804
2022-01-31,300.2137756347656,301.56530125918164,295.7633601067022,298.25405611410014,46444500,298.0531967163086,,47.61976641586538,294.2274767303776,301.03939524576214,-6.811918515384548,-7.772506229899154
2022-02-01,298.07061767578125,299.87587283189384,294.5662849793049,299.66348813934843,40950400,296.79868469238284,,45.59616107719028,294.8187291835166,300.8194857961339,-6.000756612617295,-7.418156306442782
2022-02-02,302.6078796386719,304.2104133019044,298.1864540558619,298.9104887522053,36636000,296.04810485839846,,46.66111931072347,296.01706002277126,300.9519594140997,-4.934899391328429,-6.921504923419912
