Date,close,High,Low,Open,Volume,MA20,MA50,RSI,EMA12,EMA26,MACD,Signal
2022-01-03,399.9266662597656,400.3566589355469,378.6799926757813,382.5833435058594,103931400,,,,399.9266662597656,399.9266662597656,0.0,0.0
2022-01-04,383.1966552734375,402.6666564941406,374.3500061035156,396.51666259765625,100248300,,,,397.35281841571515,398.68740618670427,-1.334587770989117,-0.2669175541978234
2022-01-05,362.7066650390625,390.11334228515625,360.336669921875,382.2166748046875,80119800,,,,392.0226409731532,396.02216610169376,-3.99952512854054,-1.0134390690663668
2022-01-06,354.8999938964844,362.6666564941406,340.1666564941406,359.0,90336600,,,,386.3114644998196,392.97607927167826,-6.66461477185868,-2.14367420962483
2022-01-07,342.32000732421875,360.30999755859375,336.6666564941406,360.1233215332031,84164700,,,,379.5435480112656,389.2237776459405,-9.680229634674902,-3.650985294634844
2022-01-10,352.7066650390625,353.0333251953125,326.6666564941406,333.3333435058594,91815000,,,,375.4147967847728,386.5188063417273,-11.104009556954509,-5.141590147098777
2022-01-11,354.79998779296875,358.6166687011719,346.2733459472656,351.22332763671875,66063300,,,,372.2432877091107,384.1692642270045,-11.925976517893787,-6.498467421257779
2022-01-12,368.739990234375,371.61334228515625,357.5299987792969,359.6166687011719,83739000,,,,371.70431886684366,383.02635504236525,-11.322036175521589,-7.463181172110541
2022-01-13,343.85333251953125,371.8666687011719,342.17999267578125,369.6900024414063,97209900,,,,367.4195517364879,380.1246496703035,-12.70509793381558,-8.51156452445155
2022-01-14,349.8699951171875,350.6666564941406,337.7933349609375,339.9599914550781,72924300,,,,364.7196199489032,377.88356414785045,-13.163944198947263,-9.442040459350693
2022-01-18,343.5033264160156,356.92999267578125,338.6866760253906,342.2033386230469,66743400,,,,361.4555747899974,375.3368798714182,-13.881305081420805,-10.329893383764716
2022-01-19,331.8833312988281,351.5566711425781,331.6666564941406,347.2366638183594,75442500,,,,356.9059988682791,372.1180984956708,-15.212099627391694,-11.306334632490113
2022-01-20,332.0899963378906,347.2200012207031,331.3333435058594,336.57666015625,70488600,,,,353.0881523251424,369.15305389139075,-16.064901566248352,-12.258048019241762
2022-01-21,314.6333312988281,334.8500061035156,313.5,332.11334228515625,103416000,,,21.678390273284194,347.1720260134017,365.1145559215713,-17.942529908169604,-13.39494439702733
2022-01-24,310.0,311.1700134277344,283.8233337402344,301.586669921875,151565700,,,21.031260340827785,341.45325278057066,361.0319962236771,-19.57874344310642,-14.631704206243148
2022-01-25,306.1333312988281,317.086669921875,301.07000732421875,304.7333374023437,86595900,,,22.931733855744724,336.01941870645646,356.96542845146604,-20.946009745009576,-15.894565313996434
2022-01-26,312.4700012207031,329.2300109863281,302.0,317.4766540527344,104867400,,,30.40640152810917,332.3964314009559,353.6694708788169,-21.273039477861005,-16.97026014676935
2022-01-27,276.3666687011719,311.7966613769531,276.3333435058594,311.1199951171875,147109500,,,24.908404336061125,323.77646790868147,347.9433373841766,-24.166869475495105,-18.4095820125145
2022-01-28,282.1166687011719,285.8333435058594,264.0033264160156,277.1866760253906,134789100,,,29.88707358456594,317.36726803060304,343.06728785210214,-25.700019821499097,-19.86766957431142
2022-01-31,312.239990234375,312.663330078125,287.3500061035156,290.9033203125,104436000,336.7228302001953,,38.05587852632132,316.5784560619526,340.78378432486306,-24.205328262910484,-20.735201312031236
2022-02-01,310.4166564941406,314.5666809082031,301.6666564941406,311.7366638183594,73138200,332.24732971191406,,36.8789280358481,315.6304868976738,338.53436744851325,-22.90388055083946,-21.168937159792883
2022-02-02,301.8866577148437,310.5,296.4700012207031,309.3933410644531,66792900,328.18182983398435,,29.583024528889922,313.51605163877684,335.81972228305625,-22.303670644279407,-21.39588385669019
2022-02-03,297.0466613769531,312.3333435058594,293.50665283203125,294.0,78855600,324.8988296508789,,33.71072840108525,310.982299290804,332.947643697419,-21.965344406614975,-21.50977596667515
2022-02-04,307.7733459472656,312.1666564941406,293.72332763671875,299.0733337402344,73625400,322.542497253418,,35.814899557301445,310.48861416102886,331.0828809011113,-20.594266740082446,-21.32667412135661
2022-02-07,302.4466552734375,315.92333984375,300.9033203125,307.92999267578125,60994500,320.54882965087893,,36.067688079919684,309.251389716784,328.9616790027651,-19.710289285981105,-21.00339715428151
2022-02-08,307.3333435058594,308.7633361816406,298.26666259765625,301.84332275390625,50729100,318.28016357421876,,41.27018715097743,308.95630568433404,327.35958007706836,-18.403274392734318,-20.483372601972075
2022-02-09,310.6666564941406,315.42333984375,306.6666564941406,311.6666564941406,52259400,316.07349700927733,,42.54771374048719,309.21943657815046,326.12306721907373,-16.903630640923268,-19.767424209762314
2022-02-10,301.51666259765625,314.60333251953125,298.8999938964844,302.7900085449219,66126900,312.7123306274414,,45.15739996498242,308.0343944273052,324.30037058045025,-16.26597615314506,-19.067134598438862
2022-02-11,286.6666564941406,305.32000732421875,283.5666809082031,303.2099914550781,79645800,309.8529968261719,,41.9897451069669,304.7470501298953,321.51268805553843,-16.765637925643148,-18.60683526387972
2022-02-14,291.9200134277344,299.6266784667969,284.3833312988281,287.19000244140625,67756500,306.9554977416992,,45.16663587927746,302.77365986802437,319.3206380831085,-16.546978215084152,-18.19486385412061
2022-02-15,307.4766540527344,307.6666564941406,297.7933349609375,300.0,57286200,305.15416412353517,,48.40216323477425,303.49719743490283,318.4433059327105,-14.946108497807643,-17.545112782858016
2022-02-16,307.7966613769531,308.8099975585937,300.4033203125,304.6833190917969,51294300,303.94983062744143,,63.04473495286458,304.1586534259875,317.65466559524697,-13.496012169259473,-16.735292660138306
2022-02-17,292.1166687011719,306.1666564941406,291.3666687011719,304.4200134277344,55178400,301.95116424560547,,53.834355110336006,302.3060403914005,315.76296212161174,-13.456921730211263,-16.0796184741529
2022-02-18,285.6600036621094,295.6233215332031,279.2033386230469,295.3333435058594,68501700,300.5024978637695,,37.548417570685295,299.7451116638172,313.5331133468338,-13.788001683016546,-15.621295115925628
2022-02-22,273.84332275390625,285.57666015625,267.0333251953125,278.0433349609375,83288100,298.69466400146484,,34.33377752783667,295.76022106229243,310.5931288584688,-14.832907796176357,-15.463617651975774
2022-02-23,254.67999267578125,278.4333190917969,253.5200042724609,276.8099975585937,95256900,296.1219970703125,,31.467239382230147,289.4401859259061,306.45141506715856,-17.011229141252443,-15.773139949831108
2022-02-24,266.92333984375,267.49334716796875,233.3333282470703,233.4633331298828,135322200,293.8446640014648,,38.82362638693982,285.97605575942055,303.5234094950542,-17.547353735633635,-16.127982706991617
2022-02-25,269.9566650390625,273.1666564941406,260.79998779296875,269.74334716796875,76067700,293.5241638183594,,35.11974909644508,283.5115341101347,301.03698397979554,-17.52544986966086,-16.407476139525464
2022-02-28,290.1433410644531,292.28668212890625,271.57000732421875,271.6700134277344,99006900,293.9254974365234,,45.66571119620587,284.53181210310674,300.230047467548,-15.698235364441246,-16.265627984508622
2022-03-01,288.1233215332031,296.6266784667969,284.59332275390625,289.8933410644531,74766900,292.7196640014648,,43.093068248351706,285.08435201542926,299.33325295389284,-14.248900938463578,-15.862282575299615
2022-03-02,293.2966613769531,295.49334716796875,281.42333984375,290.7099914550781,74643300,291.8636642456055,,43.836203591761276,286.34778422489444,298.8860980222677,-12.538313797373235,-15.197488819714339
2022-03-03,279.7633361816406,295.4800109863281,277.5333251953125,292.92333984375,61623600,290.7574981689453,,42.51365592222242,285.33479221824,297.4695971451842,-12.134804926944184,-14.584952041160308
2022-03-04,279.42999267578125,285.2166748046875,275.0533447265625,283.0333251953125,66999600,289.87666473388674,,47.233057639858174,284.4263615194002,296.13333014745064,-11.706968628050447,-14.009355358538336
2022-03-07,268.1933288574219,288.7133178710937,268.19000244140625,285.4333190917969,72494100,287.89766387939454,,41.32500835725957,281.92897187909585,294.0637004222633,-12.134728543167455,-13.634429995464162
2022-03-08,274.79998779296875,283.3299865722656,260.72332763671875,265.1766662597656,80399100,286.5153305053711,,37.21603940531933,280.83220509661476,292.63675874601927,-11.804553649404511,-13.268454726252234
2022-03-09,286.3233337402344,286.85333251953125,277.336669921875,279.82666015625,59184000,285.46483001708987,,42.2761544966687,281.67699411871007,292.1690976344796,-10.492103515769543,-12.713184484155697
2022-03-10,279.4333190917969,284.8166809082031,270.1199951171875,283.8166809082031,58648500,283.90316314697264,,45.12990802312289,281.33181334533884,291.22570663131796,-9.893893285979118,-12.149326244520381
2022-03-11,265.1166687011719,281.26666259765625,264.5899963378906,280.0666809082031,67037100,282.0831634521484,,42.560898468736205,278.8371757077747,289.2917038216775,-10.454528113902825,-11.81036661839687
2022-03-14,255.4566650390625,266.8999938964844,252.01333618164065,260.2033386230469,71152200,280.52266387939454,,43.23622286267005,275.24017406643435,286.78540465259493,-11.545230586160585,-11.757339411949614
2022-03-15,267.2966613769531,268.5233459472656,252.19000244140625,258.42333984375,66841200,279.29149627685547,306.75919677734373,54.905517676560926,274.01809519112953,285.34179403958444,-11.32369884845491,-11.670611299250673
2022-03-16,280.07666015625,280.6666564941406,267.4200134277344,269.6666564941406,84028800,277.92149658203124,304.36219665527346,55.09292104204666,274.9501821088404,284.9517841223004,-10.001602013460001,-11.33680944209254
2022-03-17,290.5333251953125,291.6666564941406,275.239990234375,276.9966735839844,66582900,277.0583297729492,302.5089300537109,57.53410850807542,277.34758873752844,285.3652316091902,-8.017642871661735,-10.672976128006379
2022-03-18,301.7966613769531,302.6166687011719,289.1300048828125,291.4966735839844,100414200,277.5423294067383,301.29072998046877,54.56515449669918,281.10898452820913,286.5823745549504,-5.473390026741242,-9.633058907753352
2022-03-21,307.0533447265625,314.2833251953125,302.36334228515625,304.99334716796875,81981600,278.61199645996095,300.3337969970703,57.232375443323285,285.100424558725,288.09874271581054,-2.998318157085521,-8.306110757619786
2022-03-22,331.32666015625,332.6199951171875,307.25,310.0,105868500,281.4861633300781,300.11393005371093,62.67920199698142,292.21215311219044,291.3008106743616,0.9113424378288073,-6.462620118530068
2022-03-23,333.03668212890625,346.8999938964844,325.4666748046875,326.64666748046875,120676200,285.40399780273435,299.7205303955078,69.28144020786469,298.49284988399285,294.39235670803157,4.100493175961276,-4.349997459631799
2022-03-24,337.97332763671875,341.4966735839844,329.6000061035156,336.57666015625,68920800,288.9564971923828,299.3839971923828,70.50554639612523,304.56676953825837,297.6205767768232,6.946192761435157,-2.0907594154184084
2022-03-25,336.8800048828125,340.6000061035156,332.44000244140625,336.0,62031600,292.3026641845703,298.7467974853516,75.89865266825538,309.5380365143436,300.5286825624521,9.009353951891512,0.12926325804357575
2022-03-28,363.9466552734375,365.9599914550781,351.20001220703125,355.0333251953125,102506100,295.99282989501955,299.1486639404297,79.12021242150628,317.90859324651194,305.22631017067323,12.682283075838711,2.639867221602603
2022-03-29,366.5233459472656,371.5899963378906,357.7033386230469,369.3299865722656,73614900,299.91283111572267,299.48173095703123,77.82404070365762,325.38778596970485,309.7668313393097,15.620954630395147,5.2360847033611115
2022-03-30,364.663330078125,371.3166809082031,361.3333435058594,363.7233276367188,59865000,303.4811645507813,299.9049310302734,80.63844030137123,331.43017737100024,313.833238653296,17.596938717704234,7.708255506229736
2022-03-31,359.20001220703125,367.71331787109375,358.8800048828125,364.8566589355469,48992700,307.45299835205077,300.4512646484375,86.12014495283643,335.7024596534666,317.19374039801716,18.50871925544942,9.868348256073673
2022-04-01,361.5299987792969,364.9166564941406,355.5466613769531,360.3833312988281,54263100,311.55799865722656,301.0400646972656,93.15199241198737,339.67592721128665,320.47790768551937,19.19801952576728,11.734282510012395
2022-04-04,381.8166809082031,383.3033447265625,357.510009765625,363.1266784667969,82035900,317.2391662597656,302.3837316894531,93.59235404789663,346.15912008773535,325.0215205168293,21.137599570906048,13.614945922191126
2022-04-05,363.7533264160156,384.2900085449219,362.4333190917969,378.76666259765625,80075100,321.686833190918,303.45879821777345,80.62013114568097,348.86592106131695,327.89054317602825,20.975377885288708,15.087032314810642
2022-04-06,348.586669921875,359.6666564941406,342.5666809082031,357.8233337402344,89348400,324.8,304.30786499023435,70.53580064806306,348.82295934755666,329.42358960164654,19.39936974591012,15.949499801030537
2022-04-07,352.4200134277344,358.86334228515625,340.5133361816406,350.7966613769531,79447200,328.4493347167969,305.106865234375,68.90106198876893,349.37635228296864,331.12702840357895,18.249323879389692,16.40946461670237
2022-04-08,341.8299865722656,349.4800109863281,340.8133239746094,347.7366638183594,55013700,332.2850006103516,306.4161315917969,62.48712180401035,348.2153729428605,331.919840119778,16.29553282308251,16.386678257978396
2022-04-11,325.3099975585937,336.1566772460937,324.8800048828125,326.79998779296875,59357100,335.7776672363281,307.2799981689453,47.7122382500898,344.6914690375887,331.43022215228285,13.261246885305866,15.761591983443891
2022-04-12,328.9833374023437,340.39666748046875,325.5333251953125,332.5466613769531,65976000,338.8620010375977,307.6148651123047,48.481438611109695,342.27483340139713,331.2489714300651,11.025861971332006,14.814445981021516
2022-04-13,340.7900085449219,342.0799865722656,324.3666687011719,327.02667236328125,55121100,341.8976684570313,308.22233215332034,51.003591517364434,342.0463988080933,331.9557149200545,10.090683888038768,13.869693562424967
2022-04-14,328.3333435058594,337.57000732421875,327.39666748046875,333.0966796875,58422300,343.7876693725586,308.75126586914064,47.18291568834824,339.936697992365,331.68739111159556,8.249306880769439,12.745616226093862
2022-04-18,334.7633361816406,338.3066711425781,324.4700012207031,329.6766662597656,51715200,345.43600311279295,309.5055993652344,38.866150327852104,339.1407961753305,331.91523889456187,7.225557280768612,11.641604437028814
2022-04-19,342.7166748046875,344.9800109863281,331.77667236328125,335.0199890136719,49847700,347.2191696166992,310.2044659423828,41.27534950742052,339.6909313490777,332.71534525827485,6.975586090802835,10.708400767783619
2022-04-20,325.7333374023437,344.6666564941406,325.0833435058594,343.3333435058594,70711200,346.9395034790039,310.6701995849609,37.15662446815579,337.5436092034263,332.19815949116884,5.345449712257448,9.635810556678384
2022-04-21,336.260009765625,364.0733337402344,332.1400146484375,358.24334716796875,105416400,347.10066986083984,311.24873291015626,42.67654379491074,337.34613236684146,332.4990372892767,4.847095077564745,8.678067460855656
2022-04-22,335.01666259765625,344.95001220703125,331.3333435058594,338.3033447265625,69696600,346.95283660888674,311.73573303222656,41.47664317546939,336.9877524023514,332.6855280528604,4.302224349491041,7.802898838582733
2022-04-25,332.67333984375,336.2066650390625,325.1000061035156,326.3233337402344,68341200,346.7425033569336,312.35886657714843,32.14139088146061,336.323996624105,332.6846252225559,3.6393714015491128,6.970193351176009
2022-04-26,292.1400146484375,333.3333435058594,291.6666564941406,331.8099975585937,136133700,343.1521713256836,312.46833374023436,27.6292330357778,329.52646093554074,329.68132073558417,-0.15485980004342537,5.5451827209321225
2022-04-27,293.836669921875,306.0,292.4533386230469,299.52667236328125,76956300,339.51783752441406,312.5066668701172,31.325469005479817,324.03572385651523,327.0261614160502,-2.9904375595349393,3.83805866483871
2022-04-28,292.5033264160156,300.0,273.8999938964844,299.99334716796875,124948500,335.9098373413086,312.2072003173828,29.20859329430938,319.18458578874606,324.4689143790106,-5.284328590264522,2.013581213818064
2022-04-29,290.2533264160156,311.4666748046875,290.0,300.75,88133100,332.46250305175784,311.85633361816406,31.0030717656538,314.733622808326,321.93442638175173,-7.2008035734257305,0.17070425636930509
2022-05-02,300.9800109863281,302.1199951171875,282.6766662597656,286.92333984375,75781500,329.43500366210935,312.0336004638672,40.639194668634254,312.61768252801863,320.38224746357224,-7.764564935553608,-1.4163495820152776
2022-05-03,303.0833435058594,308.02667236328125,296.1966552734375,301.0599975585937,63709500,325.4983367919922,312.3820672607422,39.913286862888455,311.15086113999416,319.1008471704084,-7.949986030414209,-2.723076871695064
2022-05-04,317.5400085449219,318.5,295.09332275390625,301.3133239746094,81643800,323.1876708984375,313.2560009765625,41.12843837990037,312.1338068945984,318.9852294944464,-6.851422599847979,-3.548746017325647
2022-05-05,291.09332275390625,315.20001220703125,285.8999938964844,313.00665283203125,92519100,320.31300354003906,313.984267578125,37.160977939853574,308.89680933449193,316.91916232848047,-8.022352993988534,-4.443467412658225
2022-05-06,288.54998779296875,296.0,281.03668212890625,295.6666564941406,72903000,317.11950225830077,314.4168005371094,33.62854839166535,305.76652909733457,314.81774199251663,-9.051212895182061,-5.365016509162992
2022-05-09,262.3699951171875,281.8766784667969,260.3833312988281,278.8166809082031,90810300,313.14650268554686,314.2650671386719,24.791885606787133,299.090139254235,310.9327237054552,-11.842584451220205,-6.660530097574435
2022-05-10,266.67999267578125,275.1199951171875,258.0833435058594,273.10333251953125,84401700,310.2150024414062,313.7958001708984,29.87184117325951,294.1039628575498,307.65474362918303,-13.550780771633242,-8.038580232386197
2022-05-11,244.6666717529297,269.92333984375,242.3999938964844,265.0,97224600,305.99916915893556,312.92666717529295,21.04775147988927,286.4982257645313,302.9889605272383,-16.490734762707007,-9.72901113845036
2022-05-12,242.6666717529297,253.22000122070312,226.6666717529297,233.6666717529297,140313000,301.09300231933594,311.9140673828125,20.94754904271504,279.7549097627464,298.5206428402525,-18.76573307750607,-11.536355526261502
2022-05-13,256.5299987792969,262.45001220703125,250.52333068847656,257.82666015625,92150700,297.5028350830078,311.44940063476565,27.664897689097742,276.1818465345234,295.4102247616632,-19.228378227139785,-13.074760066437161
2022-05-16,241.4566650390625,256.586669921875,239.69667053222656,255.72000122070312,86098500,292.8375015258789,310.68993408203124,32.52258194736501,270.8395109198371,291.41366478221124,-20.574153862374146,-14.574638825624557
2022-05-17,253.8699951171875,254.82666015625,242.9499969482422,249.1199951171875,80236200,288.3951675415039,310.4034674072266,37.1665868025239,268.2288161809679,288.63265221443174,-20.403836033463847,-15.740478267192415
2022-05-18,236.60333251953125,253.5,233.60333251953125,248.17333984375,87811800,283.9386672973633,309.6395343017578,33.71655135604509,263.3633571561315,284.778628533328,-21.415271377196518,-16.87543688919324
2022-05-19,236.47332763671875,244.6666717529297,231.3699951171875,235.6666717529297,90296700,278.94933319091797,308.6425341796875,34.138189575251346,259.2264295377603,281.20045809654215,-21.974028558781868,-17.895155223110965
2022-05-20,221.3000030517578,240.52667236328125,211.0,237.9966735839844,144973200,273.26350021362305,307.47986785888673,27.099933649168563,253.3915946937599,276.7633873524841,-23.37179265872416,-18.990482710233604
2022-05-23,224.96665954589844,226.65333557128903,212.6866607666016,218.33999633789065,88903500,267.87816619873047,306.67686767578124,27.749179435375723,249.01852774793505,272.9265927001444,-23.908064952209344,-19.973999158628754
2022-05-24,209.3866729736328,217.97332763671875,206.856674194336,217.8433380126953,89092500,263.74049911499026,305.75546783447265,19.389402990450435,242.9213193211193,268.2199319796621,-25.298612658542766,-21.03892185861156
2022-05-25,219.6000061035156,223.106674194336,207.6699981689453,207.9499969482422,92139300,260.02866592407224,304.8015347290039,27.71774932521491,239.33342497994948,264.6184559888364,-25.285031008886904,-21.888143688666627
2022-05-26,235.91000366210932,239.55667114257807,217.8866729736328,220.47332763671875,106003200,257.19899978637693,303.9182015991211,34.89035058904528,238.80674477720484,262.4919039646344,-23.685159187429548,-22.247546788419214
2022-05-27,253.2100067138672,253.26666259765625,240.1766662597656,241.0833282470703,89295000,255.34683380126953,303.1717352294922,47.22950615245324,241.02263122899905,261.8043560201331,-20.78172479113408,-21.95438238896219
2022-05-31,252.7533264160156,259.6000061035156,244.7433319091797,257.9466552734375,101914500,252.9354995727539,302.19086853027346,45.68726940756645,242.82735356546314,261.1339093827911,-18.30655581732796,-21.224817074635347
2022-06-01,246.7899932861328,257.32666015625,243.63999938964844,251.72000122070312,77247900,250.12083206176757,300.9856015014648,50.73011550971564,243.43699044556618,260.07139707933493,-16.634406633768748,-20.30673498646203
2022-06-02,258.3333435058594,264.2099914550781,242.0666656494141,244.1566619873047,93473100,247.16049880981444,299.525735168457,55.05528742875076,245.72873707022666,259.9426523701886,-14.213915299961968,-19.08817104916202
