Date,close,High,Low,Open,Volume,MA20,MA50,RSI,EMA12,EMA26,MACD,Signal
2022-01-03,178.10365295410156,178.95499096160628,173.895952516217,174.01337226981713,104487900,,,,178.10365295410156,178.10365295410156,0.0,0.0
2022-01-04,175.84323120117188,179.01369889567948,175.2756775127618,178.71035458130368,99310400,,,,177.75589576134317,177.9362143057364,-0.1803185443932307,-0.03606370887864614
2022-01-05,171.16580200195312,176.30312460609773,170.89181265756935,175.7551459173302,94537600,,,,176.74203518297548,177.43470228323395,-0.6926671002584612,-0.16738438715460918
2022-01-06,168.3085174560547,171.53769548653034,167.95624321761545,168.99349099432447,96904000,,,,175.44457091729535,176.7586885923318,-1.3141176750364423,-0.39673104473097576
2022-01-07,168.474853515625,170.40257420223315,167.35932100577125,169.17940193566972,86709100,,,,174.37230670165374,176.14507117924242,-1.7727644775886802,-0.6719377313025167
2022-01-10,168.49441528320312,168.79775959259328,164.5606894006289,165.45116232460057,106765600,,,,173.4680157141998,175.57835592768396,-2.1103402134841645,-0.9596182277388463
2022-01-11,171.3223876953125,171.4202325096092,167.15382233749222,168.62162893365016,76138300,,,,173.13791909590944,175.26309902158238,-2.1251799256729385,-1.1927305673256647
2022-01-12,171.7626953125,173.37727630082253,171.06794201208896,172.3400288846834,74805200,,,,172.92634620615414,175.00380985794664,-2.077463651792499,-1.3696771842190316
2022-01-13,168.49441528320312,172.82933029006384,168.10299122971512,172.0073621746904,84505800,,,,172.2445106795463,174.5216324820397,-2.2771218024934115,-1.5511661078739076
2022-01-14,169.3555450439453,170.05029852382498,167.4180294399018,167.66266389110206,80440800,,,,171.80005442791537,174.13895933847715,-2.33890491056178,-1.7087138684114822
2022-01-18,166.15574645996094,168.8369308798859,165.7741172577152,167.82903798853678,90956700,,,,170.9316993559224,173.54761023636482,-2.6159108804424136,-1.8901532708176685
2022-01-19,162.66233825683594,167.40825267441707,162.37856885772902,166.35143003303915,94815000,,,,169.65948995606297,172.74129379343677,-3.0818038373737977,-2.128483384128894
2022-01-20,160.97923278808594,166.0382709410417,160.6563135530504,163.3962221186515,91420500,,,,168.3240657763742,171.8700300152626,-3.5459642388884163,-2.4119795550807988
2022-01-21,158.92431640625,162.76018251834915,158.81667665863466,160.8911718694381,122848900,,,15.517134481137163,166.87795048866278,170.91108826644688,-4.0331377777841055,-2.73621119962146
2022-01-24,158.15127563476562,158.81668910799385,151.37979580013618,156.58562410189697,162294600,,,15.0974661210806,165.53538512652474,169.9659169603964,-4.430531833871669,-3.0750753264715023
2022-01-25,156.3507843017578,159.26682305990172,153.65002507588994,155.56795099632697,115798400,,,15.344373228841178,164.12236961502214,168.95738861531208,-4.835019000289947,-3.4270640612351913
2022-01-26,156.26268005371094,160.86180403234616,154.4328194222898,159.99090611922438,108275300,,,18.33668653517101,162.91318660558966,168.01703983297128,-5.10385322738162,-3.7624218944644774
2022-01-27,155.8028106689453,160.3236511350677,154.88298262420264,158.96348400735147,121954600,,,20.416549354240203,161.81928261533668,167.1122821171175,-5.292999501780827,-4.068537415927747
2022-01-28,166.6743621826172,166.6939371213685,159.3059729952558,162.15352186578443,179935700,,,47.17273179037238,162.56621793337982,167.07984360345083,-4.513625670071008,-4.1575550667564
2022-01-31,171.02883911132812,171.24411862639118,165.87194061535732,166.5079991576081,115541600,166.2158950805664,,53.50286393966746,163.86815965306417,167.3723617892195,-3.504202136155328,-4.026884480636186
2022-02-01,170.86248779296875,171.08754730875657,168.61184784118433,170.2753591337895,86213900,165.85383682250978,,49.31388600036058,164.94421013612643,167.63088964134909,-2.6866795052226564,-3.75884348555348
2022-02-02,172.06607055664062,172.10522042730014,169.60994623393472,170.99946801633135,84914300,165.66497879028321,,50.44252042110886,166.03988097005168,167.9594215610003,-1.9195405909486283,-3.3909829066325097
2022-02-03,169.1891326904297,172.45745938312197,168.42587461276983,170.73522377708107,89418100,165.56614532470704,,51.025057152750605,166.52438123472524,168.05051127429138,-1.5261300395661408,-3.018012333219236
2022-02-04,168.90504455566406,170.5804825811808,167.22960653014735,168.20939100229583,82465400,165.5959716796875,,49.32377028528813,166.8906371302543,168.11381003587454,-1.2231729056202312,-2.659044447699435
2022-02-07,168.18980407714844,170.4335039135459,167.4941505320522,169.36554243968104,77251200,165.58171920776368,,53.299345892747006,167.090508968238,168.11943922411706,-1.028930255879061,-2.3330216093353604
2022-02-08,171.2957305908203,171.80522273077705,167.96445422996524,168.2583925780297,74829200,165.72178497314454,,64.18207868198945,167.73746614094298,168.3547200660951,-0.617253925152113,-1.989868072498711
2022-02-09,172.7164306640625,173.07894618735656,171.36432311182244,172.49108438879807,71285000,165.79148712158204,,69.44836761535765,168.5034606829614,168.67780974001863,-0.1743490570572419,-1.6267642694104172
2022-02-10,168.64048767089844,171.9325638827204,168.08201833200982,170.61965636290995,90865900,165.63537673950196,,65.08895425961023,168.52454175802862,168.67504514230603,-0.15050338427741394,-1.3315120923838166
2022-02-11,165.23086547851562,169.58111126110254,164.64298876993468,168.8462728505392,98670700,165.4721992492676,,60.1622212643376,168.01782233041124,168.41992072276602,-0.4020983923547874,-1.1456293523780108
2022-02-14,165.4660186767578,166.15186486791518,163.19291135712115,163.98653444619794,86185500,165.2777229309082,,63.69988927733047,167.6252371529261,168.20111316380246,-0.5758760108763568,-1.0316786840776802
2022-02-15,169.2969512939453,169.45372039657573,166.80830532856646,167.51375134007887,62527400,165.4347831726074,,67.6089419471023,167.88242394385213,168.28228635862786,-0.3998624147757255,-0.9053154302172893
2022-02-16,169.0618133544922,169.83583650795123,166.612352178537,168.37596721528965,61177400,165.75475692749023,,68.02197957179075,168.06386846856597,168.34002909906224,-0.27616063049626405,-0.7794844702730843
2022-02-17,165.4660186767578,168.43476465088062,165.06430342539218,167.57254946752525,69589300,165.97909622192384,,47.952646383586014,167.66419926982627,168.1271394381508,-0.4629401683245362,-0.7161756098833747
2022-02-18,163.91793823242188,167.0924302194162,162.83037691642315,166.38699918366942,82772700,166.22877731323243,,36.68544718977852,167.0878514179179,167.81534675624496,-0.7274953383270599,-0.7184395555721118
2022-02-22,160.9982147216797,163.3202994694817,158.87206895600934,161.6448612037598,91162800,166.37112426757812,,33.25640965871271,166.15098423388125,167.31037401294384,-1.159389779062593,-0.806629600270208
2022-02-23,156.83412170410156,162.7911986729469,156.52058346872764,162.19352949330056,90009200,166.39529113769532,,26.506503867959836,164.7176207677613,166.53435532339995,-1.8167345556386465,-1.008650591343896
2022-02-24,159.45016479492188,159.5579417081335,148.92727191069304,149.4955488212337,141147500,166.55466537475587,,34.85691183525536,163.907242925786,166.00960046943862,-2.10235754365263,-1.2273919818056427
2022-02-25,161.51747131347656,161.78200234869726,157.61791846840168,160.5278794584224,91974200,166.84039840698242,,39.11661883079048,163.53958575466146,165.67685016158958,-2.137264406928125,-1.4093664668301393
