Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2022-01-03,143.80299377441406,144.6554454776026,142.53497035254995,143.86596514809975,28646000
2022-01-04,143.2158203125,145.28421989053714,142.5384203965496,144.20414226489285,28400000
2022-01-05,136.64561462402344,143.3149946024937,136.55933735130031,143.23614798069272,54618000
2022-01-06,136.6183319091797,138.79286404298605,135.43908316933738,135.8754787528965,37348000
2022-01-07,135.8938446044922,137.31361360301065,134.6535916733449,137.01308839091683,29760000
2022-01-10,137.53277587890625,137.68155536055949,132.07291243739996,133.97072480010584,44408000
2022-01-11,138.5905303955078,139.06660657340043,135.57199131832226,136.87571483847339,28730000
2022-01-12,140.27113342285156,141.4389864287953,139.54117421787691,139.99293049410736,26108000
2022-01-13,137.45098876953125,141.67904485341882,137.27443890098434,140.37977039221903,31436000
2022-01-14,138.337158203125,139.5883225969847,135.8755088296192,135.95533915327124,29662000
2022-01-18,134.88319396972656,136.00740156008052,134.32828625328975,135.05874499682633,34872000
2022-01-19,134.00892639160156,136.82862410530518,133.90875636510398,135.40439065709728,28648000
2022-01-20,132.21473693847656,136.49784887181025,131.8745463034307,135.1331212999803,29908000
2022-01-21,129.28298950195312,133.7599798995472,129.02016235439484,131.5066158303364,55652000
2022-01-24,129.73178100585938,130.1275124017033,123.47945498392451,124.94533645029941,76622000
2022-01-25,125.89448547363281,128.33829204225916,125.46355309123715,127.68469738972522,46960000
2022-01-26,128.1736297607422,131.9097485375021,126.09976709115335,130.04417107706672,49130000
2022-01-27,127.947509765625,131.56510157140477,127.87559438564548,130.2276601350221,31950000
2022-01-28,132.2578887939453,132.26335206297418,127.43177919070502,128.59615164447928,34362000
2022-01-31,134.1943817138672,134.36250208787934,131.12574979400958,133.06224407236246,39986000
2022-02-01,136.5157012939453,136.6634819687619,133.26705377749363,136.46660753981268,68644000
2022-02-02,146.7867889404297,150.30421054385434,144.32960458845056,150.01014748135128,123200000
2022-02-03,141.91705322265625,148.4480810526987,141.49603343553346,144.51112229924576,71518000
2022-02-04,142.11839294433594,143.68742564570832,139.36316498296367,142.26865554288074,57998000
2022-02-07,138.05995178222656,143.06756034988416,137.76140907718417,143.06756034988416,54974000
2022-02-08,138.25633239746094,138.85240387304552,135.89088796533107,137.8868882442639,54284000
2022-02-09,140.4313201904297,141.3561864794341,139.03783863725855,139.80797789700927,40144000
2022-02-10,137.4836883544922,140.3247091861647,136.8261287196153,138.55831786227063,39330000
